               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.059346,             0.02554,           0.0038975,             0.92387,             0.69126,             0.76957,             0.36001,            0.060915,            0.026717,            0.010146,            0.006964,            0.006964,            0.006964
                  94,            0.058091,            0.027736,           0.0044125,              0.9172,             0.69928,             0.78296,             0.37915,              0.0602,            0.026918,            0.010448,            0.006931,            0.006931,            0.006931
                  95,            0.058497,            0.027706,           0.0033256,             0.88659,             0.71948,             0.78228,             0.32471,            0.065345,            0.027009,            0.010028,            0.006898,            0.006898,            0.006898
                  96,            0.059583,            0.023075,           0.0039547,             0.88312,             0.70512,             0.77436,             0.33106,              0.0638,            0.027077,            0.010111,            0.006865,            0.006865,            0.006865
                  97,            0.061044,            0.026103,           0.0034481,             0.86943,             0.71692,             0.78035,             0.35051,            0.062696,            0.026671,           0.0096762,            0.006832,            0.006832,            0.006832
                  98,            0.057584,            0.028873,           0.0033327,             0.89017,             0.70503,             0.75534,              0.3847,            0.059752,            0.026674,              0.0123,            0.006799,            0.006799,            0.006799
                  99,            0.058291,            0.023732,             0.00343,              0.8454,             0.71961,             0.76432,             0.33321,            0.064318,            0.026339,            0.010366,            0.006766,            0.006766,            0.006766
                 100,            0.061144,            0.024945,           0.0032203,             0.88512,             0.76842,             0.80451,             0.36077,            0.061153,            0.027209,           0.0098278,            0.006733,            0.006733,            0.006733
                 101,            0.058137,            0.022069,           0.0027343,             0.90039,             0.77216,             0.81702,             0.38185,            0.060476,            0.026893,             0.01015,              0.0067,              0.0067,              0.0067
                 102,            0.058468,            0.022587,           0.0040311,             0.86471,             0.75643,             0.80418,             0.38553,            0.061279,            0.027575,            0.010078,            0.006667,            0.006667,            0.006667
                 103,            0.058203,            0.025486,           0.0039954,             0.89242,             0.76267,             0.79871,             0.38976,            0.060649,            0.026831,            0.010355,            0.006634,            0.006634,            0.006634
                 104,            0.058163,             0.02518,           0.0029456,             0.87428,             0.77014,              0.7969,             0.38205,            0.061439,            0.027369,            0.010218,            0.006601,            0.006601,            0.006601
                 105,            0.056212,            0.024481,            0.002826,             0.92899,             0.76227,             0.81082,             0.41514,            0.059532,            0.026757,            0.010467,            0.006568,            0.006568,            0.006568
                 106,            0.055533,            0.021413,           0.0024019,              0.8889,             0.77833,             0.81045,             0.37824,            0.062319,            0.027359,            0.010349,            0.006535,            0.006535,            0.006535
                 107,            0.061083,            0.027428,           0.0028905,             0.90681,             0.74298,             0.79271,             0.38674,            0.061048,            0.026615,            0.010463,            0.006502,            0.006502,            0.006502
                 108,            0.059251,            0.023504,           0.0028828,              0.9048,             0.75091,             0.80866,             0.37453,            0.061048,            0.026801,            0.010702,            0.006469,            0.006469,            0.006469
                 109,            0.058559,            0.023675,            0.002697,             0.87629,              0.7268,             0.78865,             0.37492,             0.06006,            0.026284,            0.010945,            0.006436,            0.006436,            0.006436
                 110,            0.057873,            0.022405,            0.003003,             0.89499,             0.71745,             0.76705,             0.34286,            0.061654,            0.026582,            0.010799,            0.006403,            0.006403,            0.006403
                 111,            0.060413,            0.024988,           0.0026174,             0.90322,             0.74859,             0.80378,             0.40611,            0.058475,            0.025934,            0.010748,             0.00637,             0.00637,             0.00637
                 112,            0.054136,            0.023269,           0.0043445,             0.94331,             0.71902,             0.80141,             0.40816,            0.059153,            0.026141,            0.010469,            0.006337,            0.006337,            0.006337
                 113,            0.057223,            0.025598,           0.0027361,             0.93379,             0.76323,             0.82629,             0.37534,            0.061984,            0.026116,            0.010628,            0.006304,            0.006304,            0.006304
                 114,            0.058003,             0.02439,             0.00206,             0.88603,              0.7784,              0.8138,             0.38574,            0.059236,             0.02603,            0.010726,            0.006271,            0.006271,            0.006271
                 115,            0.055254,            0.024044,           0.0022556,             0.88708,             0.79992,             0.82126,             0.39851,            0.060107,            0.025865,            0.011294,            0.006238,            0.006238,            0.006238
                 116,            0.055094,            0.022112,           0.0032642,             0.86747,             0.77841,              0.8166,             0.38162,            0.060313,            0.025844,             0.01171,            0.006205,            0.006205,            0.006205
                 117,            0.056468,            0.024596,           0.0024259,             0.90529,             0.80222,             0.81934,             0.38084,            0.060998,            0.025736,            0.011042,            0.006172,            0.006172,            0.006172
                 118,            0.055301,            0.026831,           0.0027713,             0.91446,             0.80803,             0.83116,             0.43825,            0.057906,            0.025688,            0.010717,            0.006139,            0.006139,            0.006139
                 119,            0.054715,            0.025063,           0.0021286,             0.87899,             0.82002,             0.81056,             0.38685,            0.060879,            0.025903,            0.011147,            0.006106,            0.006106,            0.006106
                 120,            0.055613,            0.021373,           0.0024158,             0.87365,              0.8082,             0.81764,             0.39912,            0.058768,            0.026028,            0.010478,            0.006073,            0.006073,            0.006073
                 121,            0.053702,            0.020489,           0.0020552,             0.89087,             0.82976,             0.83279,             0.40825,            0.059518,            0.025979,            0.010187,             0.00604,             0.00604,             0.00604
                 122,            0.053438,            0.027661,           0.0022637,             0.88574,              0.8082,             0.83109,             0.40891,            0.059351,            0.026094,           0.0096488,            0.006007,            0.006007,            0.006007
                 123,            0.056251,            0.026176,           0.0024463,             0.85501,              0.8082,             0.81195,             0.41693,            0.058293,            0.025662,             0.01003,            0.005974,            0.005974,            0.005974
                 124,            0.051184,            0.020435,           0.0022199,             0.87103,             0.76813,              0.8271,             0.42421,            0.059033,             0.02587,           0.0097125,            0.005941,            0.005941,            0.005941
                 125,            0.054564,            0.024087,           0.0025268,             0.86827,             0.80022,             0.81657,             0.39177,            0.062047,            0.025669,             0.01017,            0.005908,            0.005908,            0.005908
